Task,Model,Accuracy,Precision,Sensitivity,F1-score,AUROC
AD vs. CN,Random forest,0.9989 ± 0.0025,1.0000 ± 0.0000,0.9974 ± 0.0058,0.9987 ± 0.0029,1.0000 ± 0.0000
,XGBoost,0.9989 ± 0.0025,0.9974 ± 0.0057,1.0000 ± 0.0000,0.9987 ± 0.0029,1.0000 ± 0.0000
,MLP,0.9664 ± 0.0278,0.9725 ± 0.0421,0.9507 ± 0.0445,0.9608 ± 0.0324,0.9936 ± 0.0116
,FT-Transformer,0.9854 ± 0.0129,0.9822 ± 0.0192,0.9844 ± 0.0169,0.9832 ± 0.0149,0.9994 ± 0.0011
,Robust FT-Transformer,0.9889 ± 0.0092,0.9848 ± 0.0164,0.9922 ± 0.0116,0.9884 ± 0.0106,0.9995 ± 0.0009
AD vs. MCI,Random forest,0.9341 ± 0.0249,0.9088 ± 0.0405,0.8477 ± 0.0645,0.8765 ± 0.0473,0.9770 ± 0.0110
,XGBoost,0.9348 ± 0.0181,0.8937 ± 0.0276,0.8683 ± 0.0501,0.8804 ± 0.0342,0.9800 ± 0.0107
,MLP,0.9133 ± 0.0132,0.8061 ± 0.0495,0.9123 ± 0.0450,0.8541 ± 0.0180,0.9765 ± 0.0123
,FT-Transformer,0.9198 ± 0.0169,0.8327 ± 0.0641,0.8994 ± 0.0466,0.8622 ± 0.0225,0.9746 ± 0.0133
,Robust FT-Transformer,0.8968 ± 0.0391,0.7685 ± 0.0847,0.9252 ± 0.0526,0.8354 ± 0.0444,0.9753 ± 0.0121
MCI vs. CN,Random forest,0.9782 ± 0.0098,0.9721 ± 0.0135,0.9960 ± 0.0041,0.9839 ± 0.0072,0.9914 ± 0.0037
,XGBoost,0.9782 ± 0.0098,0.9721 ± 0.0135,0.9960 ± 0.0041,0.9839 ± 0.0072,0.9927 ± 0.0034
,MLP,0.9201 ± 0.0430,0.9879 ± 0.0152,0.8919 ± 0.0774,0.9356 ± 0.0367,0.9924 ± 0.0038
,FT-Transformer,0.9743 ± 0.0169,0.9785 ± 0.0136,0.9831 ± 0.0219,0.9806 ± 0.0129,0.9932 ± 0.0028
,Robust FT-Transformer,0.9756 ± 0.0068,0.9720 ± 0.0135,0.9921 ± 0.0044,0.9819 ± 0.0049,0.9912 ± 0.0054
