One-Feature Random Masking,,,,,,,
Task,Model,Accuracy,Precision,Sensitivity,F1-score,AUROC,ΔAUROC
AD vs. CN,Random forest,0.9442 ± 0.0164,0.9555 ± 0.0119,0.9356 ± 0.0189,0.9420 ± 0.0175,0.9997 ± 0.0005,0.0003
,XGBoost,0.9445 ± 0.0163,0.9551 ± 0.0123,0.9363 ± 0.0188,0.9424 ± 0.0173,0.9869 ± 0.0269,0.0131
,MLP,0.9613 ± 0.0237,0.9649 ± 0.0206,0.9578 ± 0.0267,0.9602 ± 0.0247,0.9959 ± 0.0054,-0.0023
,FT-Transformer,0.9728 ± 0.0186,0.9762 ± 0.0140,0.9694 ± 0.0207,0.9719 ± 0.0184,0.9918 ± 0.0125,0.0076
,Robust FT-Transformer,0.9843 ± 0.0115,0.9836 ± 0.0119,0.9846 ± 0.0115,0.9840 ± 0.0117,0.9987 ± 0.0021,0.0008
AD vs. MCI,Random forest,0.9040 ± 0.0221,0.9100 ± 0.0253,0.8461 ± 0.0346,0.8703 ± 0.0318,0.9663 ± 0.0123,0.0107
,XGBoost,0.9045 ± 0.0186,0.9048 ± 0.0213,0.8517 ± 0.0304,0.8725 ± 0.0267,0.9640 ± 0.0110,0.016
,MLP,0.9054 ± 0.0243,0.8775 ± 0.0314,0.8975 ± 0.0220,0.8858 ± 0.0272,0.9675 ± 0.0118,0.009
,FT-Transformer,0.8941 ± 0.0149,0.8710 ± 0.0238,0.8788 ± 0.0277,0.8702 ± 0.0162,0.9600 ± 0.0124,0.0146
,Robust FT-Transformer,0.8902 ± 0.0323,0.8604 ± 0.0303,0.8991 ± 0.0215,0.8722 ± 0.0322,0.9692 ± 0.0111,0.0061
MCI vs. CN,Random forest,0.9392 ± 0.0135,0.9556 ± 0.0096,0.9108 ± 0.0199,0.9283 ± 0.0167,0.9611 ± 0.0109,0.0303
,XGBoost,0.9392 ± 0.0135,0.9556 ± 0.0096,0.9108 ± 0.0199,0.9283 ± 0.0167,0.9498 ± 0.0143,0.0429
,MLP,0.8895 ± 0.0266,0.8760 ± 0.0340,0.8827 ± 0.0227,0.8777 ± 0.0278,0.9574 ± 0.0119,0.035
,FT-Transformer,0.9211 ± 0.0265,0.9270 ± 0.0390,0.8987 ± 0.0228,0.9093 ± 0.0284,0.9401 ± 0.0197,0.0531
,Robust FT-Transformer,0.9530 ± 0.0138,0.9488 ± 0.0149,0.9456 ± 0.0177,0.9469 ± 0.0157,0.9871 ± 0.0059,0.0041
Two-Feature Random Masking,,,,,,,
Task,Model,Accuracy,Precision,Sensitivity,F1-score,AUROC,ΔAUROC
AD vs. CN,Random forest,0.8913 ± 0.0214,0.9199 ± 0.0133,0.8745 ± 0.0247,0.8842 ± 0.0241,0.9986 ± 0.0018,0.0014
,XGBoost,0.8921 ± 0.0213,0.9195 ± 0.0137,0.8758 ± 0.0246,0.8853 ± 0.0239,0.9724 ± 0.0497,0.0276
,MLP,0.9315 ± 0.0332,0.9430 ± 0.0243,0.9228 ± 0.0387,0.9283 ± 0.0361,0.9888 ± 0.0097,0.0048
,FT-Transformer,0.9337 ± 0.0321,0.9466 ± 0.0231,0.9243 ± 0.0374,0.9305 ± 0.0346,0.9767 ± 0.0248,0.0227
,Robust FT-Transformer,0.9751 ± 0.0153,0.9743 ± 0.0157,0.9759 ± 0.0149,0.9747 ± 0.0155,0.9969 ± 0.0044,0.0026
AD vs. MCI,Random forest,0.8739 ± 0.0218,0.8971 ± 0.0253,0.7855 ± 0.0351,0.8188 ± 0.0351,0.9521 ± 0.0143,0.0249
,XGBoost,0.8736 ± 0.0197,0.8894 ± 0.0231,0.7895 ± 0.0334,0.8206 ± 0.0318,0.9457 ± 0.0128,0.0343
,MLP,0.8968 ± 0.0229,0.8745 ± 0.0336,0.8709 ± 0.0220,0.8715 ± 0.0259,0.9566 ± 0.0126,0.0199
,FT-Transformer,0.8779 ± 0.0188,0.8600 ± 0.0282,0.8409 ± 0.0430,0.8438 ± 0.0277,0.9407 ± 0.0185,0.0339
,Robust FT-Transformer,0.8793 ± 0.0312,0.8475 ± 0.0298,0.8888 ± 0.0221,0.8601 ± 0.0313,0.9606 ± 0.0110,0.0147
MCI vs. CN,Random forest,0.9002 ± 0.0155,0.9319 ± 0.0103,0.8520 ± 0.0229,0.8774 ± 0.0209,0.9249 ± 0.0168,0.0665
,XGBoost,0.9002 ± 0.0155,0.9319 ± 0.0103,0.8520 ± 0.0229,0.8774 ± 0.0209,0.9047 ± 0.0218,0.088
,MLP,0.8527 ± 0.0273,0.8426 ± 0.0386,0.8239 ± 0.0267,0.8308 ± 0.0296,0.9203 ± 0.0176,0.0721
,FT-Transformer,0.8800 ± 0.0330,0.8954 ± 0.0508,0.8387 ± 0.0294,0.8572 ± 0.0353,0.8868 ± 0.0330,0.1064
,Robust FT-Transformer,0.9244 ± 0.0175,0.9142 ± 0.0203,0.9183 ± 0.0199,0.9155 ± 0.0194,0.9782 ± 0.0073,0.013
