,,,,,,,
Model,Hyperparameter,Selected value,,,,,
Random Forest,n_estimators,100,,,,,
,max_depth,5,,,,,
,max_features,log2,,,,,
,min_samples_leaf,1,,,,,
,min_samples_split,10,,,,,
,bootstrap,TRUE,,,,,
,class_weight,None,,,,,
XGBoost,n_estimators,500,,,,,
,max_depth,2,,,,,
,learning_rate,0.03,,,,,
,subsample,1,,,,,
,colsample_bytree,1,,,,,
,min_child_weight,5,,,,,
,gamma,1,,,,,
,reg_alpha,0.01,,,,,
,reg_lambda,10,,,,,
,use_scale_pos_weight,FALSE,,,,,
MLP,batch_size,32,,,,,
,hidden_dim,16,,,,,
,num_layers,2,,,,,
,dropout,0.5,,,,,
,learning_rate,0.001,,,,,
,weight_decay,0.0001,,,,,
,epochs,100,,,,,
,patience,10,,,,,
FT-Transformer,batch_size,16,,,,,
,d_model,32,,,,,
,n_heads,4,,,,,
,n_layers,3,,,,,
,dropout,0.5,,,,,
,learning_rate,0.001,,,,,
,weight_decay,0.001,,,,,
,epochs,100,,,,,
,patience,10,,,,,
Robust FT-Transformer,batch_size,16,,,,,
,d_model,32,,,,,
,n_heads,4,,,,,
,n_layers,3,,,,,
,dropout,0.5,,,,,
,learning_rate,0.001,,,,,
,weight_decay,0.001,,,,,
,epochs,100,,,,,
,patience,10,,,,,
,feature_mask_prob,0.2,,,,,
