Task,Fold,Accuracy,Precision,Sensitivity,F1-score,AUROC
AD vs. CN,1,1,1,1,1,1
,2,0.9944,0.9951,0.9936,0.9943,1
,3,0.9944,0.9937,0.995,0.9943,1
,4,0.9775,0.9771,0.9771,0.9771,0.9979
,5,0.9831,0.9812,0.9851,0.9829,0.9995
AD vs. MCI,1,0.9071,0.8793,0.8963,0.8871,0.9586
,2,0.9104,0.8805,0.9104,0.8932,0.9723
,3,0.9247,0.8935,0.94,0.9115,0.9888
,4,0.828,0.8057,0.8772,0.813,0.9853
,5,0.914,0.8867,0.9044,0.8948,0.9715
MCI vs. CN,1,0.9703,0.9755,0.9583,0.9662,0.9831
,2,0.9835,0.9803,0.9827,0.9815,0.998
,3,0.9802,0.9801,0.9752,0.9776,0.9911
,4,0.967,0.9732,0.953,0.9621,0.9904
,5,0.9769,0.9803,0.9678,0.9737,0.9935
