Task,Ablated Feature,Accuracy,F1-score,AUROC,ΔAUROC
AD vs. CN,AGE,0.9865 ± 0.0141,0.9863 ± 0.0143,0.9994 ± 0.0009,0.0001 ± 0.0004
,CDRSB,0.9753 ± 0.0141,0.9750 ± 0.0143,0.9973 ± 0.0032,0.0022 ± 0.0028
,FAQTOTAL,0.9798 ± 0.0146,0.9796 ± 0.0148,0.9990 ± 0.0013,0.0005 ± 0.0004
,MMSCORE,0.9776 ± 0.0199,0.9771 ± 0.0203,0.9953 ± 0.0070,0.0042 ± 0.0061
,BMI,0.9899 ± 0.0092,0.9897 ± 0.0094,0.9994 ± 0.0010,0.0001 ± 0.0001
,PULSE,0.9899 ± 0.0092,0.9897 ± 0.0094,0.9995 ± 0.0007,0.0000 ± 0.0000
,GENDER,0.9854 ± 0.0117,0.9852 ± 0.0119,0.9993 ± 0.0011,0.0002 ± 0.0002
,APOE4,0.9910 ± 0.0110,0.9909 ± 0.0112,0.9996 ± 0.0008,-0.0002 ± 0.0002
AD vs. MCI,AGE,0.8968 ± 0.0370,0.8800 ± 0.0364,0.9755 ± 0.0119,-0.0002 ± 0.0004
,CDRSB,0.8603 ± 0.0511,0.8425 ± 0.0500,0.9603 ± 0.0107,0.0150 ± 0.0078
,FAQTOTAL,0.8997 ± 0.0385,0.8833 ± 0.0379,0.9727 ± 0.0091,0.0026 ± 0.0033
,MMSCORE,0.8625 ± 0.0447,0.8401 ± 0.0426,0.9439 ± 0.0144,0.0314 ± 0.0075
,BMI,0.8947 ± 0.0298,0.8772 ± 0.0299,0.9755 ± 0.0115,-0.0002 ± 0.0009
,PULSE,0.9004 ± 0.0309,0.8836 ± 0.0305,0.9755 ± 0.0110,-0.0002 ± 0.0013
,GENDER,0.8904 ± 0.0425,0.8729 ± 0.0417,0.9756 ± 0.0111,-0.0003 ± 0.0012
,APOE4,0.9119 ± 0.0120,0.8951 ± 0.0143,0.9759 ± 0.135,-0.0006 ± 0.0019
MCI vs. CN,AGE,0.9769 ± 0.0074,0.9737 ± 0.0086,0.9912 ± 0.0054,0.0000 ± 0.0000
,CDRSB,0.7842 ± 0.0411,0.7681 ± 0.0444,0.8663 ± 0.0272,0.1249 ± 0.0243
,FAQTOTAL,0.9762 ± 0.0063,0.9729 ± 0.0075,0.9918 ± 0.0036,-0.0006 ± 0.0029
,MMSCORE,0.9782 ±0.0098,0.9752 ± 0.0113,0.9907 ± 0.0066,0.0005 ± 0.0015
,BMI,0.9749 ± 0.0060,0.9715 ± 0.0071,0.9915 ± 0.0052,-0.0003 ± 0.0009
,PULSE,0.9762 ± 0.0063,0.9729 ± 0.0075,0.9913 ± 0.0053,-0.0001 ± 0.0002
,GENDER,0.9776 ± 0.0085,0.9744 ± 0.0099,0.9921 ± 0.0042,-0.0009 ± 0.0017
,APOE4,0.9776 ± 0.0103,0.9744 ± 0.0118,0.9932 ± 0.0030,-0.0020 ± 0.0030
